index,value,label,truth,anomaly,doLabel
1,352,352,352,0,FALSE
2,352,352,352,0,FALSE
3,352,352,352,0,FALSE
4,352,352,352,0,FALSE
5,352,352,352,0,FALSE
6,352,352,352,0,FALSE
7,352,352,352,0,FALSE
8,363,363,363,0,FALSE
9,352,352,352,0,FALSE
10,352,352,352,0,FALSE
11,352,352,352,0,FALSE
12,352,352,352,0,FALSE
13,352,352,352,0,FALSE
14,352,352,352,0,FALSE
15,352,352,352,0,FALSE
16,341,341,341,0,FALSE
17,341,341,341,0,FALSE
18,341,341,341,0,FALSE
19,341,341,341,0,FALSE
20,341,341,341,0,FALSE
21,341,341,341,0,FALSE
22,341,341,341,0,FALSE
23,352,352,352,0,FALSE
24,341,341,341,0,FALSE
25,341,341,341,0,FALSE
26,341,341,341,0,FALSE
27,341,341,341,0,FALSE
28,352,352,352,0,FALSE
29,352,352,352,0,FALSE
30,341,341,341,0,FALSE
31,352,352,352,0,FALSE
32,341,341,341,0,FALSE
33,341,341,341,0,FALSE
34,341,341,341,0,FALSE
35,341,341,341,0,FALSE
36,341,341,341,0,FALSE
37,341,341,341,0,FALSE
38,341,341,341,0,FALSE
39,341,341,341,0,FALSE
40,352,352,352,0,FALSE
41,341,341,341,0,FALSE
42,341,341,341,0,FALSE
43,330,330,330,0,FALSE
44,330,330,330,0,FALSE
45,330,330,330,0,FALSE
46,330,330,330,0,FALSE
47,330,330,330,0,FALSE
48,341,341,341,0,FALSE
49,330,330,330,0,FALSE
50,341,341,341,0,FALSE
51,341,341,341,0,FALSE
52,341,341,341,0,FALSE
53,341,341,341,0,FALSE
54,341,341,341,0,FALSE
55,341,341,341,0,FALSE
56,341,341,341,0,FALSE
57,330,330,330,0,FALSE
58,330,330,330,0,FALSE
59,330,330,330,0,FALSE
60,341,341,341,0,FALSE
61,330,330,330,0,FALSE
62,330,330,330,0,FALSE
63,330,330,330,0,FALSE
64,330,330,330,0,FALSE
65,319,319,319,0,FALSE
66,319,319,319,0,FALSE
67,319,319,319,0,FALSE
68,319,319,319,0,FALSE
69,319,319,319,0,FALSE
70,319,319,319,0,FALSE
71,319,319,319,0,FALSE
72,319,319,319,0,FALSE
73,319,319,319,0,FALSE
74,330,330,330,0,FALSE
75,319,319,319,0,FALSE
76,319,319,319,0,FALSE
77,319,319,319,0,FALSE
78,319,319,319,0,FALSE
79,319,319,319,0,FALSE
80,319,319,319,0,FALSE
81,319,319,319,0,FALSE
82,319,319,319,0,FALSE
83,330,330,330,0,FALSE
84,319,319,319,0,FALSE
85,319,319,319,0,FALSE
86,319,319,319,0,FALSE
87,308,308,308,0,FALSE
88,308,308,308,0,FALSE
89,308,308,308,0,FALSE
90,308,308,308,0,FALSE
91,308,308,308,0,FALSE
92,308,308,308,0,FALSE
93,308,308,308,0,FALSE
94,319,319,319,0,FALSE
95,308,308,308,0,FALSE
96,308,308,308,0,FALSE
97,308,308,308,0,FALSE
98,319,319,319,0,FALSE
99,308,308,308,0,FALSE
100,308,308,308,0,FALSE
101,308,308,308,0,FALSE
102,308,308,308,0,FALSE
103,308,308,308,0,FALSE
104,308,308,308,0,FALSE
105,308,308,308,0,FALSE
106,308,308,308,0,FALSE
107,308,308,308,0,FALSE
